trade_id,year,region1,region2,industry1,industry2,amount,total_materials_value,materials_count,unique_materials_factors,natural_resource/in_ground,materials_Minerals,materials_Other_Materials,materials_intensity
5067,2022,IN,IN,FORES,PADDY,272.71,55823077.319,1.0,1.0,55823077.319,55823077.319,55823077.319,204697.581016
11592,2022,IN,IN,SANDC,MOTO1,18.22,55811047.943,2.0,1.0,55811047.943,55811047.943,55811047.943,3063174.969429
11571,2022,IN,IN,SANDC,FABRI,15.88,48635825.095,2.0,1.0,48635825.095,48635825.095,48635825.095,3062709.388854
1192,2022,IN,IN,BITUM,EDUCA,62.25,46926993.379,1.0,1.0,46926993.379,46926993.379,46926993.379,753847.283197
8769,2022,IN,IN,PADDY,FOOD5,223.78,45471505.483,1.0,1.0,45471505.483,45471505.483,45471505.483,203197.361172
1205,2022,IN,IN,BITUM,HEALT,54.41,41018574.557,1.0,1.0,41018574.557,41018574.557,41018574.557,753879.333891
8773,2022,IN,IN,PADDY,HOTEL,199.54,40544848.683,1.0,1.0,40544848.683,40544848.683,40544848.683,203191.584058
1249,2022,IN,IN,BITUM,PROCE,52.72,39744068.706,1.0,1.0,39744068.706,39744068.706,39744068.706,753870.802466
12073,2022,IN,IN,SUGAR,HEALT,85.25,36344440.295,1.0,1.0,36344440.295,36344440.295,36344440.295,426327.745396
1214,2022,IN,IN,BITUM,LEATH,48.17,36318180.902,1.0,1.0,36318180.902,36318180.902,36318180.902,753958.499107
8760,2022,IN,IN,PADDY,CROPS,177.15,35995903.068,1.0,1.0,35995903.068,35995903.068,35995903.068,203194.485284
