trade_id,year,region1,region2,industry1,industry2,amount
4777,2022,CN,CN,FINAN,COPP1,8987.79
12024,2022,CN,CN,RETA1,RETA1,8985.56
12066,2022,CN,CN,RETAI,CONST,8928.33
787,2022,CN,CN,BASIC,RUBBE,8891.79
4887,2022,CN,CN,FINAN,VEGET,8860.98
4728,2022,CN,CN,FABRI,RUBBE,8810.61
4717,2022,CN,CN,FABRI,RADIO,8785.30
6705,2022,CN,CN,INSUR,HEALT,8764.04
11462,2022,CN,CN,REALE,ELECT,8762.08
1810,2022,CN,CN,CHEM1,CRUDE,8746.03
14257,2022,CN,CN,WHOLE,LEATH,8722.78
12532,2022,CN,CN,SEACO,PFERT,8718.17
10777,2022,CN,CN,PRINT,RESEA,8677.87
12255,2022,CN,CN,RUBBE,PFERT,8669.34
5456,2022,CN,CN,FOUND,MOTO1,8669.14
7071,2022,CN,CN,LANDT,BEVER,8660.06
9352,2022,CN,CN,OFFIC,PUBLI,8659.85
4806,2022,CN,CN,FINAN,FURNI,8650.22
11967,2022,CN,CN,RETA1,GLASS,8639.41
13129,2022,CN,CN,SUPPO,TEXTI,8635.22
14206,2022,CN,CN,WHOLE,BEVER,8628.10
6263,2022,CN,CN,HOTEL,CHEM1,8620.96
6043,2022,CN,CN,HEALT,INSUR,8574.88
10447,2022,CN,CN,POSTT,RESEA,8563.30
9762,2022,CN,CN,PAPER,RADIO,8483.16
11016,2022,CN,CN,PUBLI,PUBLI,8465.12
6315,2022,CN,CN,HOTEL,LANDT,8442.60
5602,2022,CN,CN,FURNI,OFFIC,8433.16
13021,2022,CN,CN,SUPPO,AIRTR,8416.26
3162,2022,CN,CN,EDUCA,BUSIN,8406.01
7865,2022,CN,CN,MEATC,HOTEL,8350.34
10799,2022,CN,CN,PRINT,WHOLE,8349.82
5671,2022,CN,CN,GASDI,BITUM,8331.55
10049,2022,CN,CN,PFERT,PLANT,8303.18
14032,2022,CN,CN,WEARI,PFERT,8298.68
